"No.","Time","Source","Destination","Protocol","Length","Info"
"11383","268.820000","fe80::214:14:14:14","fe80::202:2:2:2","ICMPv6","60","RPL Control (Destination Advertisement Object)"
"11384","268.822856","","","IEEE 802.15.4","5","Ack"
"11385","268.925000","fe80::205:5:5:5","fe80::215:15:15:15","ICMPv6","60","RPL Control (Destination Advertisement Object)"
"11386","268.927856","","","IEEE 802.15.4","5","Ack"
"11387","269.119000","fe80::214:14:14:14","ff02::1a","ICMPv6","97","RPL Control (DODAG Information Object)"
"11388","269.219000","fe80::20b:b:b:b","ff02::1a","ICMPv6","97","RPL Control (DODAG Information Object)"
"11389","269.393000","fe80::211:11:11:11","ff02::1a","ICMPv6","97","RPL Control (DODAG Information Object)"
"11390","269.426000","fe80::202:2:2:2","fe80::214:14:14:14","ICMPv6","60","RPL Control (Destination Advertisement Object)"
"11391","269.428856","","","IEEE 802.15.4","5","Ack"
"11392","269.457000","fe80::204:4:4:4","ff02::1a","ICMPv6","97","RPL Control (DODAG Information Object)"
"11393","269.497000","fe80::205:5:5:5","fe80::212:12:12:12","ICMPv6","60","RPL Control (Destination Advertisement Object)"
"11394","269.499856","","","IEEE 802.15.4","5","Ack"
"11395","269.520000","fe80::212:12:12:12","fe80::20f:f:f:f","ICMPv6","60","RPL Control (Destination Advertisement Object)"
"11396","269.522856","","","IEEE 802.15.4","5","Ack"
"11397","269.534000","fe80::20f:f:f:f","fe80::202:2:2:2","ICMPv6","60","RPL Control (Destination Advertisement Object)"
"11398","269.536856","","","IEEE 802.15.4","5","Ack"
"11399","269.550000","fe80::202:2:2:2","fe80::214:14:14:14","ICMPv6","60","RPL Control (Destination Advertisement Object)"
"11400","269.552856","","","IEEE 802.15.4","5","Ack"
"11401","269.748000","fe80::20f:f:f:f","ff02::1a","ICMPv6","97","RPL Control (DODAG Information Object)"
"11402","269.792000","fe80::215:15:15:15","ff02::1a","ICMPv6","97","RPL Control (DODAG Information Object)"
